case_id	case_family	map	size	start	goal	maximum_distance	maximum_expansions	point_result_bits_or_absent	field_result_bits_or_absent	mismatch_class	ulp_difference_if_finite	reachability_difference	known_algorithmic_cause	relevant_current_consumer
random_423	random_safe_512	narrow	25	10,2	5,16	40|float64_be:4044000000000000	2048	float64_be:403012318007c2b0	float64_be:403012318007c2b1	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_436	random_safe_512	narrow	25	0,18	10,21	40|float64_be:4044000000000000	2048	float64_be:40267c3b666fb66d	float64_be:40267c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_442	random_safe_512	narrow	25	0,21	3,10	40|float64_be:4044000000000000	2048	float64_be:40287c3b666fb66d	float64_be:40287c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_444	random_safe_512	narrow	25	14,5	22,21	40|float64_be:4044000000000000	2048	float64_be:4033504f333f9de7	float64_be:4033504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_446	random_safe_512	narrow	25	16,23	3,6	40|float64_be:4044000000000000	2048	float64_be:4038ba5919a791a4	float64_be:4038ba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_448	random_safe_512	narrow	25	5,8	9,16	40|float64_be:4044000000000000	2048	float64_be:4023504f333f9de6	float64_be:4023504f333f9de7	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_455	random_safe_512	narrow	25	3,23	7,10	40|float64_be:4044000000000000	2048	float64_be:402d504f333f9de7	float64_be:402d504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_461	random_safe_512	narrow	25	14,15	17,4	40|float64_be:4044000000000000	2048	float64_be:40287c3b666fb66d	float64_be:40287c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_462	random_safe_512	narrow	25	3,0	14,20	40|float64_be:4044000000000000	2048	float64_be:4039ba5919a791a4	float64_be:4039ba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_465	random_safe_512	narrow	25	20,8	15,20	40|float64_be:4044000000000000	2048	float64_be:402c2463000f8561	float64_be:402c2463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_469	random_safe_512	narrow	25	1,14	7,4	40|float64_be:4044000000000000	2048	float64_be:4028f876ccdf6cda	float64_be:4028f876ccdf6cdb	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_484	random_safe_512	narrow	25	18,24	7,2	40|float64_be:4044000000000000	2048	float64_be:403bba5919a791a4	float64_be:403bba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_488	random_safe_512	narrow	25	17,21	0,16	40|float64_be:4044000000000000	2048	float64_be:4039504f333f9de7	float64_be:4039504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_494	random_safe_512	narrow	25	13,13	19,1	40|float64_be:4044000000000000	2048	float64_be:402cf876ccdf6cda	float64_be:402cf876ccdf6cdb	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_501	random_safe_512	narrow	25	20,7	23,0	40|float64_be:4044000000000000	2048	float64_be:40207c3b666fb66c	float64_be:40207c3b666fb66d	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_508	random_safe_512	narrow	25	9,21	21,15	40|float64_be:4044000000000000	2048	float64_be:403512318007c2b0	float64_be:403512318007c2b1	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_509	random_safe_512	narrow	25	0,9	14,22	40|float64_be:4044000000000000	2048	float64_be:4038a827999fcef3	float64_be:4038a827999fcef4	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
